location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Germany,DEU,2020-12-27,23999,23986,13,,,0.03,0.03,0,
Germany,DEU,2020-12-28,42485,42435,50,18486,18486,0.05,0.05,0,221
Germany,DEU,2020-12-29,93221,92446,775,50736,34611,0.11,0.11,0,413
Germany,DEU,2020-12-30,155893,154998,895,62672,43965,0.19,0.18,0,525
Germany,DEU,2020-12-31,205912,204868,1044,50019,45478,0.25,0.24,0,543
Germany,DEU,2021-01-01,224691,223640,1051,18779,40138,0.27,0.27,0,479
Germany,DEU,2021-01-02,277113,275779,1334,52422,42186,0.33,0.33,0,504
Germany,DEU,2021-01-03,300890,299551,1339,23777,39556,0.36,0.36,0,472
Germany,DEU,2021-01-04,348968,347578,1390,48078,43783,0.42,0.41,0,523
Germany,DEU,2021-01-05,402682,401263,1419,53714,44209,0.48,0.48,0,528
Germany,DEU,2021-01-06,465356,463932,1424,62674,44209,0.56,0.55,0,528
Germany,DEU,2021-01-07,521307,519874,1433,55951,45056,0.62,0.62,0,538
Germany,DEU,2021-01-08,584368,582612,1756,63061,51382,0.7,0.7,0,613
Germany,DEU,2021-01-09,645454,643651,1803,61086,52620,0.77,0.77,0,628
Germany,DEU,2021-01-10,680969,679157,1812,35515,54297,0.81,0.81,0,648
Germany,DEU,2021-01-11,748552,746688,1864,67583,57083,0.89,0.89,0,681
Germany,DEU,2021-01-12,831201,829278,1923,82649,61217,0.99,0.99,0,731
Germany,DEU,2021-01-13,942910,940789,2121,111709,68222,1.13,1.12,0,814
Germany,DEU,2021-01-14,1025977,1023670,2307,83067,72096,1.22,1.22,0,860
Germany,DEU,2021-01-15,1117514,1114597,2917,91537,76164,1.33,1.33,0,909
Germany,DEU,2021-01-16,1175085,1171262,3823,57571,75662,1.4,1.4,0,903
Germany,DEU,2021-01-17,1224086,1202919,21167,49001,77588,1.46,1.44,0.03,926
Germany,DEU,2021-01-18,1306703,1269764,36939,82617,79736,1.56,1.52,0.04,952
Germany,DEU,2021-01-19,1424390,1352586,71804,117687,84741,1.7,1.61,0.09,1011
Germany,DEU,2021-01-20,1556405,1433087,123318,132015,87642,1.86,1.71,0.15,1046
Germany,DEU,2021-01-21,1664024,1498851,165173,107619,91150,1.99,1.79,0.2,1088
Germany,DEU,2021-01-22,1767917,1567181,200736,103893,92915,2.11,1.87,0.24,1109
Germany,DEU,2021-01-23,1852932,1607235,245697,85015,96835,2.21,1.92,0.29,1156
Germany,DEU,2021-01-24,1902156,1633312,268844,49224,96867,2.27,1.95,0.32,1156
Germany,DEU,2021-01-25,1993859,1686416,307443,91703,98165,2.38,2.01,0.37,1172
Germany,DEU,2021-01-26,2092532,1736660,355872,98673,95449,2.5,2.07,0.42,1139
Germany,DEU,2021-01-27,2203689,1788179,415510,111157,92469,2.63,2.13,0.5,1104
Germany,DEU,2021-01-28,2294857,1833306,461551,91168,90119,2.74,2.19,0.55,1076
Germany,DEU,2021-01-29,2403974,1884775,519199,109117,90865,2.87,2.25,0.62,1085
Germany,DEU,2021-01-30,2492446,1921085,571361,88472,91359,2.97,2.29,0.68,1090
Germany,DEU,2021-01-31,2548964,1947071,601893,56518,92401,3.04,2.32,0.72,1103
Germany,DEU,2021-02-01,2669617,2006234,663383,120653,96537,3.19,2.39,0.79,1152
Germany,DEU,2021-02-02,2801268,2070456,730812,131651,101248,3.34,2.47,0.87,1208
Germany,DEU,2021-02-03,2960723,2134620,826103,159455,108148,3.53,2.55,0.99,1291
Germany,DEU,2021-02-04,3092488,2195706,896782,131765,113947,3.69,2.62,1.07,1360
Germany,DEU,2021-02-05,3237203,2263372,973831,144715,119033,3.86,2.7,1.16,1421
Germany,DEU,2021-02-06,3337342,2310547,1026795,100139,120699,3.98,2.76,1.23,1441
Germany,DEU,2021-02-07,3391602,2338725,1052877,54260,120377,4.05,2.79,1.26,1437
Germany,DEU,2021-02-08,3501531,2391906,1109625,109929,118845,4.18,2.85,1.32,1418
Germany,DEU,2021-02-09,3635418,2451575,1183843,133887,119164,4.34,2.93,1.41,1422
Germany,DEU,2021-02-10,3787184,2526738,1260446,151766,118066,4.52,3.02,1.5,1409
Germany,DEU,2021-02-11,3928354,2600583,1327771,141170,119409,4.69,3.1,1.58,1425
Germany,DEU,2021-02-12,4085704,2682006,1403698,157350,121214,4.88,3.2,1.68,1447
Germany,DEU,2021-02-13,4193476,2744187,1449289,107772,122305,5.01,3.28,1.73,1460
Germany,DEU,2021-02-14,4258786,2784235,1474551,65310,123883,5.08,3.32,1.76,1479
Germany,DEU,2021-02-15,4385557,2855379,1530178,126771,126289,5.23,3.41,1.83,1507
Germany,DEU,2021-02-16,4522001,2937367,1584634,136444,126655,5.4,3.51,1.89,1512
Germany,DEU,2021-02-17,4671040,3030747,1640293,149039,126265,5.58,3.62,1.96,1507
Germany,DEU,2021-02-18,4813715,3122178,1691537,142675,126480,5.75,3.73,2.02,1510
Germany,DEU,2021-02-19,4968232,3221923,1746309,154517,126075,5.93,3.85,2.08,1505
Germany,DEU,2021-02-20,5081654,3298234,1783420,113422,126883,6.07,3.94,2.13,1514
Germany,DEU,2021-02-21,5167817,3355287,1812530,86163,129862,6.17,4,2.16,1550
Germany,DEU,2021-02-22,5328110,3455463,1872647,160293,134650,6.36,4.12,2.24,1607
Germany,DEU,2021-02-23,5495178,3562828,1932350,167068,139025,6.56,4.25,2.31,1659
Germany,DEU,2021-02-24,5671185,3679232,1991953,176007,142878,6.77,4.39,2.38,1705
Germany,DEU,2021-02-25,5860494,3809865,2050629,189309,149540,6.99,4.55,2.45,1785
Germany,DEU,2021-02-26,6070255,3954199,2116056,209761,157432,7.25,4.72,2.53,1879
Germany,DEU,2021-02-27,6218815,4062739,2156076,148560,162452,7.42,4.85,2.57,1939
Germany,DEU,2021-02-28,6326931,4146563,2180368,108116,165588,7.55,4.95,2.6,1976
Germany,DEU,2021-03-01,6522742,4293007,2229735,195811,170662,7.79,5.12,2.66,2037
Germany,DEU,2021-03-02,6742575,4459192,2283383,219833,178200,8.05,5.32,2.73,2127
Germany,DEU,2021-03-03,6986345,4633971,2352374,243770,187880,8.34,5.53,2.81,2242
Germany,DEU,2021-03-04,7229448,4814416,2415032,243103,195565,8.63,5.75,2.88,2334
Germany,DEU,2021-03-05,7498560,5016100,2482460,269112,204044,8.95,5.99,2.96,2435
Germany,DEU,2021-03-06,7701022,5169261,2531761,202462,211744,9.19,6.17,3.02,2527
Germany,DEU,2021-03-07,7851411,5285182,2566229,150389,217783,9.37,6.31,3.06,2599
Germany,DEU,2021-03-08,8090570,5471836,2618734,239159,223975,9.66,6.53,3.13,2673
Germany,DEU,2021-03-09,8340819,5667309,2673510,250249,228321,9.96,6.76,3.19,2725
Germany,DEU,2021-03-10,8624013,5884808,2739205,283194,233953,10.29,7.02,3.27,2792
Germany,DEU,2021-03-11,8905508,6105392,2800116,281495,239437,10.63,7.29,3.34,2858
Germany,DEU,2021-03-12,9229394,6357622,2871772,323886,247262,11.02,7.59,3.43,2951
Germany,DEU,2021-03-13,9475924,6554699,2921225,246530,253557,11.31,7.82,3.49,3026
Germany,DEU,2021-03-14,9647105,6689884,2957221,171181,256528,11.51,7.98,3.53,3062
Germany,DEU,2021-03-15,9895372,6879285,3016087,248267,257829,11.81,8.21,3.6,3077
Germany,DEU,2021-03-16,10074529,6991421,3083108,179157,247673,12.02,8.34,3.68,2956
Germany,DEU,2021-03-17,10279740,7117169,3162571,205211,236532,12.27,8.49,3.77,2823
Germany,DEU,2021-03-18,10474439,7236522,3237917,194699,224133,12.5,8.64,3.86,2675
Germany,DEU,2021-03-19,10718341,7397581,3320760,243902,212707,12.79,8.83,3.96,2539
Germany,DEU,2021-03-20,10938565,7563913,3374652,220224,208949,13.06,9.03,4.03,2494
Germany,DEU,2021-03-21,11104668,7691243,3413425,166103,208223,13.25,9.18,4.07,2485
Germany,DEU,2021-03-22,11370824,7881233,3489591,266156,210779,13.57,9.41,4.16,2516
Germany,DEU,2021-03-23,11668680,8095321,3573359,297856,227736,13.93,9.66,4.26,2718
Germany,DEU,2021-03-24,12002696,8341023,3661673,334016,246137,14.33,9.96,4.37,2938
Germany,DEU,2021-03-25,12340036,8598203,3741833,337340,266514,14.73,10.26,4.47,3181
Germany,DEU,2021-03-26,12714730,8884141,3830589,374694,285198,15.18,10.6,4.57,3404
Germany,DEU,2021-03-27,13001492,9107725,3893767,286762,294704,15.52,10.87,4.65,3517
Germany,DEU,2021-03-28,13198409,9251893,3946516,196917,299106,15.75,11.04,4.71,3570
Germany,DEU,2021-03-29,13506923,9471373,4035550,308514,305157,16.12,11.3,4.82,3642
Germany,DEU,2021-03-30,13834969,9706041,4128928,328046,309470,16.51,11.58,4.93,3694
Germany,DEU,2021-03-31,14176258,9944217,4232041,341289,310509,16.92,11.87,5.05,3706
Germany,DEU,2021-04-01,14499750,10175264,4324486,323492,308531,17.31,12.14,5.16,3682
Germany,DEU,2021-04-02,14729593,10333494,4396099,229843,287838,17.58,12.33,5.25,3435
Germany,DEU,2021-04-03,14961522,10499385,4462137,231929,280004,17.86,12.53,5.33,3342
Germany,DEU,2021-04-04,15157566,10641860,4515706,196044,279880,18.09,12.7,5.39,3340
Germany,DEU,2021-04-05,15407169,10818050,4589119,249603,271464,18.39,12.91,5.48,3240
Germany,DEU,2021-04-06,15785322,11097053,4688269,378153,278622,18.84,13.24,5.6,3325
Germany,DEU,2021-04-07,16462683,11677298,4785385,677361,326632,19.65,13.94,5.71,3899
Germany,DEU,2021-04-08,17195337,12320184,4875153,732654,385084,20.52,14.7,5.82,4596
Germany,DEU,2021-04-09,17818294,12854785,4963509,622957,441243,21.27,15.34,5.92,5266
Germany,DEU,2021-04-10,18186700,13157711,5028989,368406,460740,21.71,15.7,6,5499
Germany,DEU,2021-04-11,18447279,13368191,5079088,260579,469959,22.02,15.96,6.06,5609
Germany,DEU,2021-04-12,18862681,13706757,5155924,415402,493645,22.51,16.36,6.15,5892
Germany,DEU,2021-04-13,19433683,14204353,5229330,571002,521194,23.19,16.95,6.24,6221
Germany,DEU,2021-04-14,20207392,14894683,5312709,773709,534958,24.12,17.78,6.34,6385
Germany,DEU,2021-04-15,20886628,15503131,5383497,679236,527327,24.93,18.5,6.43,6294
Germany,DEU,2021-04-16,21479795,16020921,5458874,593167,523072,25.64,19.12,6.52,6243
Germany,DEU,2021-04-17,21841887,16326649,5515238,362092,522170,26.07,19.49,6.58,6232
Germany,DEU,2021-04-18,22108061,16553598,5554463,266174,522969,26.39,19.76,6.63,6242
Germany,DEU,2021-04-19,22506975,16891759,5615216,398914,520613,26.86,20.16,6.7,6214
Germany,DEU,2021-04-20,23061674,17385143,5676531,554699,518284,27.53,20.75,6.78,6186
Germany,DEU,2021-04-21,23774500,18026491,5748009,712826,509587,28.38,21.52,6.86,6082
Germany,DEU,2021-04-22,24407769,18594108,5813661,633269,503020,29.13,22.19,6.94,6004
Germany,DEU,2021-04-23,24958228,19077378,5880850,550459,496919,29.79,22.77,7.02,5931
Germany,DEU,2021-04-24,25326977,19386604,5940373,368749,497870,30.23,23.14,7.09,5942
Germany,DEU,2021-04-25,25609983,19622032,5987951,283006,500275,30.57,23.42,7.15,5971
Germany,DEU,2021-04-26,26037439,19976499,6061064,427456,504352,31.08,23.84,7.23,6020
Germany,DEU,2021-04-27,26820800,20670713,6151119,783361,537018,32.01,24.67,7.34,6410
Germany,DEU,2021-04-28,27940404,21665251,6277611,1119604,595129,33.35,25.86,7.49,7103
Germany,DEU,2021-04-29,28879490,22474816,6408886,939086,638817,34.47,26.82,7.65,7625
Germany,DEU,2021-04-30,29676714,23137157,6545405,797224,674069,35.42,27.62,7.81,8045
Germany,DEU,2021-05-01,30010176,23400065,6621095,333462,669028,35.82,27.93,7.9,7985
Germany,DEU,2021-05-02,30272572,23598701,6688457,262396,666084,36.13,28.17,7.98,7950
Germany,DEU,2021-05-03,30719744,23933672,6803274,447172,668901,36.67,28.57,8.12,7984
Germany,DEU,2021-05-04,31555376,24615260,6962576,835632,676368,37.66,29.38,8.31,8073
Germany,DEU,2021-05-05,32680282,25525152,7184414,1124906,677125,39.01,30.47,8.57,8082
Germany,DEU,2021-05-06,33634276,26275518,7393144,953994,679255,40.14,31.36,8.82,8107
Germany,DEU,2021-05-07,34471826,26909149,7601955,837550,685016,41.14,32.12,9.07,8176
Germany,DEU,2021-05-08,34880369,27173831,7747516,408543,695742,41.63,32.43,9.25,8304
Germany,DEU,2021-05-09,35152143,27348809,7846378,271774,697082,41.96,32.64,9.37,8320
Germany,DEU,2021-05-10,35709755,27735363,8022890,557612,712859,42.62,33.1,9.58,8508
